neighbourhood_group,neighbourhood,lat,long,instant_bookable,cancellation_policy,room_type,construction_year,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,review_rate_number,calculated_host_listings_count,availability_365,occupancy_rate,estimated_occupied_nights,estimated_revenue,log_price
Brooklyn,Crown Heights,40.66941,-73.93849,False,strict,Entire home/apt,2022.0,866,4,8.0,2019-04-28,0.43,4.0,1.0,5.0,0.9863013698630136,360.0,311760.0,6.763884908562435
Brooklyn,Bedford-Stuyvesant,40.69342,-73.95877,False,moderate,Private room,2008.0,588,1,23.0,2019-04-14,1.01,2.0,3.0,0.0,1.0,365.0,214620.0,6.376726947898627
Brooklyn,Williamsburg,40.71358,-73.96421,False,moderate,Entire home/apt,2018.0,1049,7,4.0,2018-09-28,0.18,2.0,1.0,0.0,1.0,365.0,382885.0,6.955592608396297
Manhattan,Upper West Side,40.7744,-73.9874,True,strict,Entire home/apt,2021.0,668,30,21.0,2019-06-20,1.26,4.0,25.0,318.0,0.12876712328767123,47.0,31396.0,6.504288173536645
Manhattan,East Harlem,40.78998,-73.946,False,strict,Entire home/apt,2004.0,105,1,61.0,2019-06-18,2.67,4.0,1.0,1.0,0.9972602739726028,364.0,38220.0,4.653960350157523
Brooklyn,Williamsburg,40.7138,-73.94001,True,strict,Entire home/apt,2008.0,814,3,8.0,2019-06-02,0.35,3.0,1.0,9.0,0.9753424657534246,356.0,289784.0,6.70196036600254
Manhattan,Inwood,40.87085,-73.9183,False,moderate,Private room,2008.0,212,4,19.0,2018-10-06,0.84,5.0,1.0,0.0,1.0,365.0,77380.0,5.356586274672012
Manhattan,East Village,40.72547,-73.98315,False,moderate,Entire home/apt,2022.0,910,2,2.0,2017-09-26,0.09,3.0,1.0,0.0,1.0,365.0,332150.0,6.813444599510896
Manhattan,Chelsea,40.74847,-74.00033,False,flexible,Entire home/apt,2021.0,824,2,3.0,2017-12-11,0.13,5.0,1.0,0.0,1.0,365.0,300760.0,6.714170529909472
Brooklyn,Boerum Hill,40.68796,-73.98783,True,flexible,Entire home/apt,2011.0,807,3,5.0,2017-11-05,0.23,4.0,1.0,0.0,1.0,365.0,294555.0,6.693323668269949
Manhattan,Financial District,40.70949,-74.01438,False,flexible,Entire home/apt,2011.0,250,30,22.0,2019-06-30,1.0,3.0,1.0,81.0,0.7780821917808219,284.0,71000.0,5.521460917862246
Manhattan,Upper West Side,40.7723,-73.98222,True,strict,Entire home/apt,2005.0,793,2,3.0,2018-04-15,0.13,3.0,1.0,2.0,0.9945205479452055,363.0,287859.0,6.675823221634848
Bronx,Concourse Village,40.83206,-73.91969,False,flexible,Shared room,2022.0,363,1,2.0,2017-09-21,0.09,4.0,1.0,0.0,1.0,365.0,132495.0,5.8944028342648505
Brooklyn,Bushwick,40.70068,-73.92211,False,moderate,Private room,2020.0,1133,3,3.0,2018-01-04,0.13,5.0,2.0,281.0,0.23013698630136986,84.0,95172.0,7.0326242610280065
Brooklyn,Greenpoint,40.72942,-73.95122,False,flexible,Entire home/apt,2009.0,718,4,9.0,2019-05-26,0.4,4.0,1.0,10.0,0.9726027397260274,355.0,254890.0,6.576469569048224
Manhattan,Hell's Kitchen,40.76704,-73.98484,True,moderate,Entire home/apt,2004.0,746,60,5.0,2019-02-15,0.42,4.0,1.0,76.0,0.7917808219178082,289.0,215594.0,6.61472560020376
Brooklyn,East Flatbush,40.63826,-73.93186,False,strict,Private room,2016.0,1066,4,21.0,2019-05-13,0.93,5.0,2.0,320.0,0.1232876712328767,45.0,47970.0,6.97166860472579
Manhattan,Lower East Side,40.72153,-73.98765,True,moderate,Entire home/apt,2017.0,765,3,28.0,2019-06-17,1.25,5.0,1.0,1.0,0.9972602739726028,364.0,278460.0,6.639875833826536
Brooklyn,Greenpoint,40.72816,-73.95528,False,strict,Entire home/apt,2022.0,330,2,4.0,2018-12-24,0.19,5.0,1.0,0.0,1.0,365.0,120450.0,5.799092654460526
Brooklyn,Crown Heights,40.66925,-73.92663,True,flexible,Private room,2006.0,568,2,81.0,2019-06-27,3.61,5.0,1.0,64.0,0.8246575342465754,301.0,170968.0,6.342121418721152
Manhattan,Hell's Kitchen,40.76121,-73.99053,False,moderate,Private room,2007.0,414,3,116.0,2019-06-22,5.7,3.0,2.0,82.0,0.7753424657534247,283.0,117162.0,6.025865973825314
Brooklyn,East Flatbush,40.63972,-73.93234,True,flexible,Private room,2015.0,1101,4,27.0,2019-06-22,1.19,4.0,2.0,317.0,0.13150684931506848,48.0,52848.0,7.00397413672268
Brooklyn,Greenpoint,40.72085,-73.94132,False,moderate,Entire home/apt,2011.0,410,2,5.0,2018-05-28,0.23,4.0,1.0,0.0,1.0,365.0,149650.0,6.016157159698354
Manhattan,Hell's Kitchen,40.75613,-73.99785,True,flexible,Shared room,2015.0,290,1,0.0,,,3.0,1.0,15.0,0.958904109589041,350.0,101500.0,5.66988092298052
Queens,South Ozone Park,40.66789,-73.79197,False,flexible,Entire home/apt,2005.0,522,1,53.0,2019-06-25,2.36,5.0,1.0,178.0,0.5123287671232877,187.0,97614.0,6.257667587882639
Manhattan,Lower East Side,40.72103,-73.98434,True,strict,Private room,2015.0,152,2,2.0,2019-01-29,0.09,2.0,1.0,0.0,1.0,365.0,55480.0,5.0238805208462765
Brooklyn,Williamsburg,40.711,-73.95827,True,moderate,Entire home/apt,2015.0,239,2,1.0,2017-09-08,0.04,5.0,1.0,0.0,1.0,365.0,87235.0,5.476463551931511
Manhattan,Midtown,40.753,-73.97364,False,moderate,Private room,2022.0,839,2,3.0,2018-10-20,0.16,5.0,13.0,327.0,0.10410958904109589,38.0,31882.0,6.732210706467206
Brooklyn,Flatbush,40.65108,-73.95417,False,moderate,Private room,2003.0,111,2,38.0,2019-06-22,1.67,2.0,4.0,0.0,1.0,365.0,40515.0,4.709530201312334
Brooklyn,Bedford-Stuyvesant,40.69315,-73.9565,True,moderate,Entire home/apt,2008.0,262,3,1.0,2017-12-16,0.05,5.0,1.0,0.0,1.0,365.0,95630.0,5.568344503761097
Brooklyn,Bedford-Stuyvesant,40.69268,-73.93054,False,moderate,Private room,2018.0,1119,5,1.0,2017-09-04,0.04,3.0,1.0,6.0,0.9835616438356164,359.0,401721.0,7.020190708311925
Manhattan,Murray Hill,40.74699,-73.9777,False,moderate,Entire home/apt,2006.0,1002,5,1.0,2018-07-28,0.09,4.0,1.0,359.0,0.01643835616438356,6.0,6012.0,6.90975328164481
Brooklyn,Greenpoint,40.7324,-73.95091,False,flexible,Entire home/apt,2005.0,683,2,49.0,2019-06-09,2.18,5.0,1.0,60.0,0.8356164383561644,305.0,208315.0,6.52649485957079
Manhattan,NoHo,40.72788,-73.9939,False,flexible,Entire home/apt,2014.0,112,2,18.0,2018-10-16,0.79,3.0,1.0,0.0,1.0,365.0,40880.0,4.718498871295094
Brooklyn,Borough Park,40.6357,-74.00508,False,flexible,Private room,2013.0,472,5,16.0,2019-03-17,0.7,4.0,1.0,354.0,0.030136986301369864,11.0,5192.0,6.156978985585555
Manhattan,Murray Hill,40.74838,-73.97544,False,moderate,Entire home/apt,2005.0,540,7,9.0,2018-03-31,0.41,3.0,1.0,0.0,1.0,365.0,197100.0,6.29156913955832
Manhattan,Midtown,40.75212,-73.96975,True,flexible,Private room,2019.0,825,30,0.0,,,3.0,2.0,326.0,0.10684931506849316,39.0,32175.0,6.715383386334681
Queens,Astoria,40.76398,-73.91974,False,strict,Private room,2015.0,739,5,2.0,2017-09-20,0.09,5.0,1.0,83.0,0.7726027397260274,282.0,208398.0,6.6052979209482015
Manhattan,East Harlem,40.80924,-73.93873,False,strict,Entire home/apt,2017.0,1159,2,63.0,2019-06-19,2.78,2.0,1.0,0.0,1.0,365.0,423035.0,7.055312843339752
Brooklyn,Williamsburg,40.70739,-73.94726,False,strict,Private room,2017.0,527,6,3.0,2018-07-30,0.14,4.0,2.0,254.0,0.3041095890410959,111.0,58497.0,6.267200548541362
Brooklyn,Greenpoint,40.72462,-73.94072,False,strict,Private room,2018.0,283,2,12.0,2017-10-27,0.53,2.0,2.0,0.0,1.0,365.0,103295.0,5.645446897643238
Manhattan,Washington Heights,40.84131,-73.93574,True,flexible,Private room,2014.0,542,2,1.0,2017-09-21,0.05,3.0,1.0,0.0,1.0,365.0,197830.0,6.295266001439646
Brooklyn,Crown Heights,40.66978,-73.94454,False,moderate,Entire home/apt,2008.0,438,2,40.0,2018-09-24,1.78,4.0,1.0,0.0,1.0,365.0,159870.0,6.082218910376446
Manhattan,Chinatown,40.71618,-73.99225,False,flexible,Entire home/apt,2021.0,1042,4,13.0,2019-07-02,0.6,2.0,1.0,68.0,0.8136986301369863,297.0,309474.0,6.948897222313312
Brooklyn,Bedford-Stuyvesant,40.69189,-73.95936,True,flexible,Private room,2012.0,268,2,1.0,2017-09-04,0.04,2.0,1.0,0.0,1.0,365.0,97820.0,5.5909869805108565
Manhattan,Upper West Side,40.79273,-73.97592,True,strict,Entire home/apt,2005.0,457,4,32.0,2018-07-28,1.51,3.0,1.0,0.0,1.0,365.0,166805.0,6.124683390894205
Brooklyn,Bushwick,40.69677,-73.91404,False,strict,Entire home/apt,2008.0,297,7,9.0,2019-06-17,0.42,2.0,1.0,61.0,0.8328767123287671,304.0,90288.0,5.6937321388027
Manhattan,Lower East Side,40.721,-73.99147,True,flexible,Entire home/apt,2019.0,77,2,3.0,2017-12-22,0.15,3.0,1.0,38.0,0.8958904109589041,327.0,25179.0,4.343805421853684
Manhattan,Greenwich Village,40.7328,-73.99899,True,strict,Entire home/apt,2008.0,771,1,39.0,2019-06-13,1.75,5.0,1.0,55.0,0.8493150684931506,310.0,239010.0,6.647688373563329
Manhattan,East Harlem,40.78784,-73.94931,True,moderate,Entire home/apt,2021.0,97,1,4.0,2017-10-25,0.18,3.0,1.0,0.0,1.0,365.0,35405.0,4.574710978503383
Brooklyn,East Flatbush,40.65226,-73.95166,False,flexible,Private room,2010.0,409,2,60.0,2019-06-28,2.63,5.0,4.0,9.0,0.9753424657534246,356.0,145604.0,6.013715156042802
Manhattan,Inwood,40.85927,-73.92966,False,strict,Private room,2020.0,283,3,1.0,2017-10-24,0.05,4.0,1.0,0.0,1.0,365.0,103295.0,5.645446897643238
Manhattan,Financial District,40.7074,-74.00151,True,moderate,Entire home/apt,2003.0,1002,30,1.0,2018-10-11,0.11,5.0,33.0,332.0,0.09041095890410959,33.0,33066.0,6.90975328164481
Queens,Laurelton,40.68507,-73.73342,False,strict,Entire home/apt,2010.0,698,15,0.0,,,2.0,1.0,180.0,0.5068493150684932,185.0,129130.0,6.548219102762372
Brooklyn,Bedford-Stuyvesant,40.68303,-73.95431,True,strict,Entire home/apt,2013.0,1065,3,58.0,2019-06-18,2.63,3.0,1.0,295.0,0.1917808219178082,70.0,74550.0,6.970730078143525
Brooklyn,Clinton Hill,40.68153,-73.9605,False,strict,Private room,2014.0,899,2,5.0,2018-06-04,0.22,3.0,1.0,0.0,1.0,365.0,328135.0,6.80128303447162
Manhattan,Midtown,40.7538,-73.97355,True,moderate,Private room,2016.0,848,3,3.0,2017-09-14,0.13,2.0,4.0,357.0,0.021917808219178082,8.0,6784.0,6.742880635791903
Manhattan,East Village,40.72321,-73.98327,False,flexible,Private room,2007.0,1067,2,0.0,,,4.0,1.0,0.0,1.0,365.0,389455.0,6.9726062513017535
Manhattan,Midtown,40.75371,-73.97226,False,moderate,Entire home/apt,2022.0,819,3,3.0,2019-04-11,0.2,2.0,4.0,324.0,0.11232876712328767,41.0,33579.0,6.70808408385307
Brooklyn,Fort Greene,40.68703,-73.97575,False,moderate,Private room,2007.0,168,3,1.0,2017-09-12,0.05,4.0,1.0,0.0,1.0,365.0,61320.0,5.123963979403259
Manhattan,Murray Hill,40.74969,-73.97937,True,flexible,Entire home/apt,2017.0,547,2,5.0,2018-12-07,0.23,5.0,1.0,0.0,1.0,365.0,199655.0,6.304448802421981
Brooklyn,Bushwick,40.70763,-73.92223,True,strict,Private room,2015.0,531,1,0.0,,,3.0,1.0,0.0,1.0,365.0,193815.0,6.274762021241939
Manhattan,East Village,40.72132,-73.98068,False,moderate,Private room,2019.0,328,2,1.0,2017-08-27,0.04,2.0,2.0,0.0,1.0,365.0,119720.0,5.793013608384144
Brooklyn,Bedford-Stuyvesant,40.68163,-73.95558,True,moderate,Private room,2018.0,1192,7,15.0,2019-02-14,0.7,2.0,2.0,71.0,0.8054794520547945,294.0,350448.0,7.083387847625295
Manhattan,Harlem,40.82736,-73.95292,True,strict,Private room,2006.0,339,1,41.0,2019-07-06,1.84,3.0,1.0,81.0,0.7780821917808219,284.0,96276.0,5.82600010738045
Brooklyn,Williamsburg,40.70838,-73.94645,True,flexible,Entire home/apt,2018.0,561,5,3.0,2018-01-02,0.15,5.0,1.0,73.0,0.8,292.0,163812.0,6.329720905522696
Brooklyn,Crown Heights,40.67502,-73.95732,True,moderate,Entire home/apt,2005.0,228,1,2.0,2017-09-15,0.09,2.0,1.0,0.0,1.0,365.0,83220.0,5.429345628954441
Manhattan,Midtown,40.76033,-73.96946,True,moderate,Entire home/apt,2009.0,618,1,154.0,2019-06-19,6.78,2.0,3.0,234.0,0.3589041095890411,131.0,80958.0,6.42648845745769
Brooklyn,East Flatbush,40.65312,-73.93413,True,flexible,Private room,2019.0,354,30,5.0,2018-12-29,0.22,4.0,4.0,263.0,0.27945205479452057,102.0,36108.0,5.869296913133774
Manhattan,Kips Bay,40.7433,-73.9807,True,strict,Entire home/apt,2017.0,884,20,0.0,,,5.0,1.0,0.0,1.0,365.0,322660.0,6.784457062637643
Brooklyn,Bedford-Stuyvesant,40.68539,-73.93638,False,strict,Private room,2010.0,590,2,23.0,2019-01-02,1.03,2.0,1.0,0.0,1.0,365.0,215350.0,6.380122536899765
Manhattan,Upper East Side,40.77439,-73.95489,False,strict,Private room,2011.0,183,2,2.0,2017-10-01,0.09,5.0,1.0,0.0,1.0,365.0,66795.0,5.209486152841421
Manhattan,Upper East Side,40.77205,-73.95128,False,moderate,Entire home/apt,2008.0,426,2,3.0,2018-12-02,0.13,3.0,1.0,0.0,1.0,365.0,155490.0,6.054439346269371
Brooklyn,Greenpoint,40.72992,-73.96,True,strict,Private room,2013.0,384,2,11.0,2018-10-07,0.51,3.0,1.0,179.0,0.5095890410958904,186.0,71424.0,5.950642552587727
Manhattan,Midtown,40.75328,-73.97193,True,flexible,Private room,2009.0,815,3,2.0,2017-10-20,0.09,5.0,4.0,357.0,0.021917808219178082,8.0,6520.0,6.703188113240863
Brooklyn,Williamsburg,40.71453,-73.9551,True,strict,Entire home/apt,2005.0,256,5,62.0,2019-06-24,2.83,4.0,2.0,28.0,0.9232876712328767,337.0,86272.0,5.545177444479562
Queens,Flushing,40.75777,-73.81172,True,strict,Private room,2013.0,587,2,65.0,2019-07-03,2.88,2.0,6.0,361.0,0.010958904109589041,4.0,2348.0,6.375024819828097
Manhattan,Lower East Side,40.7147,-73.98994,True,moderate,Entire home/apt,2009.0,343,3,5.0,2019-07-04,0.24,2.0,1.0,26.0,0.9287671232876712,339.0,116277.0,5.8377304471659395
Queens,Astoria,40.77326,-73.92677,False,moderate,Private room,2006.0,822,4,1.0,2017-09-22,0.05,2.0,1.0,0.0,1.0,365.0,300030.0,6.71174039505618
Manhattan,Upper West Side,40.78696,-73.97293,False,strict,Shared room,2017.0,247,3,0.0,,,2.0,1.0,0.0,1.0,365.0,90155.0,5.5093883366279774
Queens,Sunnyside,40.74317,-73.92532,True,flexible,Entire home/apt,2013.0,196,3,40.0,2019-07-02,1.76,4.0,1.0,42.0,0.8849315068493151,323.0,63308.0,5.278114659230517
Brooklyn,Bedford-Stuyvesant,40.68173,-73.91342,False,moderate,Private room,2013.0,511,1,93.0,2019-06-15,4.28,3.0,6.0,176.0,0.5178082191780822,189.0,96579.0,6.236369590203704
Brooklyn,Bedford-Stuyvesant,40.68279,-73.9117,False,flexible,Private room,2020.0,319,1,95.0,2019-06-21,4.37,5.0,6.0,232.0,0.3643835616438356,133.0,42427.0,5.765191102784844
Brooklyn,Bedford-Stuyvesant,40.68258,-73.91284,True,flexible,Private room,2016.0,317,1,95.0,2019-06-23,4.35,2.0,6.0,222.0,0.3917808219178082,143.0,45331.0,5.75890177387728
Manhattan,Greenwich Village,40.73056,-73.99357,True,flexible,Entire home/apt,2016.0,1063,1,0.0,,,5.0,1.0,0.0,1.0,365.0,387995.0,6.968850378341948
Brooklyn,Williamsburg,40.70942,-73.94897,True,strict,Private room,2008.0,1052,2,48.0,2019-06-22,2.14,5.0,2.0,46.0,0.873972602739726,319.0,335588.0,6.9584483932976555
Manhattan,Lower East Side,40.72008,-73.98786,False,flexible,Entire home/apt,2015.0,1040,5,12.0,2019-04-28,0.56,4.0,1.0,25.0,0.9315068493150684,340.0,353600.0,6.946975992135418
Brooklyn,Bushwick,40.70011,-73.92241,False,moderate,Private room,2015.0,522,1,132.0,2019-06-20,5.88,3.0,2.0,74.0,0.7972602739726027,291.0,151902.0,6.257667587882639
Brooklyn,Brighton Beach,40.57688,-73.95308,False,flexible,Entire home/apt,2003.0,1114,3,22.0,2019-06-20,0.99,5.0,1.0,134.0,0.6328767123287671,231.0,257334.0,7.01571242048723
Manhattan,Upper West Side,40.77068,-73.98674,True,strict,Entire home/apt,2011.0,452,30,0.0,,,3.0,33.0,364.0,0.0027397260273972603,1.0,452.0,6.113682179832232
Manhattan,Harlem,40.82232,-73.93647,True,flexible,Private room,2008.0,493,3,92.0,2019-07-01,4.1,2.0,1.0,200.0,0.4520547945205479,165.0,81345.0,6.20050917404269
Brooklyn,Bushwick,40.69543,-73.92324,True,strict,Private room,2014.0,311,4,4.0,2017-09-25,0.18,3.0,1.0,0.0,1.0,365.0,113515.0,5.739792912179234
Manhattan,Washington Heights,40.84877,-73.93821,True,strict,Entire home/apt,2016.0,980,4,0.0,,,2.0,1.0,0.0,1.0,365.0,357700.0,6.887552571664617
Brooklyn,Williamsburg,40.71215,-73.95177,True,flexible,Private room,2009.0,63,5,1.0,2017-08-25,0.04,2.0,1.0,0.0,1.0,365.0,22995.0,4.143134726391533
Brooklyn,Fort Hamilton,40.61765,-74.03406,False,flexible,Private room,2017.0,1039,9,0.0,,,4.0,1.0,365.0,0.0,0.0,0.0,6.946013991099227
Brooklyn,Bedford-Stuyvesant,40.69232,-73.93864,True,moderate,Private room,2016.0,147,3,15.0,2019-06-03,0.67,4.0,2.0,109.0,0.7013698630136986,256.0,37632.0,4.990432586778736
Manhattan,Kips Bay,40.74266,-73.9792,False,strict,Entire home/apt,2007.0,662,7,36.0,2019-06-22,1.65,5.0,1.0,91.0,0.7506849315068493,274.0,181388.0,6.495265555937008
Brooklyn,Williamsburg,40.71194,-73.94892,True,strict,Private room,2014.0,95,2,0.0,,,3.0,1.0,0.0,1.0,365.0,34675.0,4.553876891600541
Brooklyn,Bedford-Stuyvesant,40.68919,-73.9335,True,moderate,Private room,2015.0,736,2,1.0,2017-09-02,0.04,3.0,1.0,365.0,0.0,0.0,0.0,6.601230118728877
Brooklyn,Williamsburg,40.70789,-73.96755,False,flexible,Entire home/apt,2008.0,53,5,12.0,2018-06-10,0.57,4.0,1.0,0.0,1.0,365.0,19345.0,3.970291913552122
Manhattan,Chelsea,40.7459,-73.99867,False,strict,Private room,2016.0,782,3,4.0,2017-10-10,0.18,3.0,2.0,0.0,1.0,365.0,285430.0,6.661854740545311
Manhattan,East Village,40.72945,-73.98203,False,moderate,Private room,2018.0,173,1,3.0,2018-05-26,0.21,4.0,2.0,0.0,1.0,365.0,63145.0,5.153291594497779
Manhattan,Harlem,40.81793,-73.94017,True,moderate,Private room,2011.0,776,1,9.0,2018-10-28,0.4,4.0,2.0,90.0,0.7534246575342466,275.0,213400.0,6.654152520183219
Brooklyn,Sunset Park,40.65198,-74.00763,True,strict,Entire home/apt,2021.0,379,2,7.0,2018-06-30,0.5,5.0,1.0,0.0,1.0,365.0,138335.0,5.937536205082426
Brooklyn,Bedford-Stuyvesant,40.68459,-73.95732,False,moderate,Entire home/apt,2020.0,660,3,52.0,2019-06-26,2.39,4.0,1.0,185.0,0.4931506849315068,180.0,118800.0,6.492239835020471
Queens,St. Albans,40.69606,-73.77311,False,strict,Private room,2004.0,875,1,0.0,,,4.0,1.0,179.0,0.5095890410958904,186.0,162750.0,6.774223886357614
Manhattan,Murray Hill,40.75035,-73.97907,False,strict,Shared room,2010.0,456,3,93.0,2019-06-27,4.13,5.0,2.0,26.0,0.9287671232876712,339.0,154584.0,6.1224928095143865
Manhattan,Murray Hill,40.74946,-73.9785,True,moderate,Shared room,2012.0,279,3,103.0,2019-06-25,4.56,4.0,2.0,22.0,0.9397260273972603,343.0,95697.0,5.631211781821365
Brooklyn,Bushwick,40.70188,-73.92062,False,moderate,Private room,2017.0,430,4,17.0,2019-06-09,0.76,4.0,1.0,0.0,1.0,365.0,156950.0,6.063785208687608
Brooklyn,Flatbush,40.64923,-73.95273,False,strict,Private room,2022.0,1187,2,26.0,2019-06-29,1.16,4.0,4.0,0.0,1.0,365.0,433255.0,7.079184394609668
Manhattan,Hell's Kitchen,40.76154,-73.99306,False,moderate,Entire home/apt,2017.0,489,2,16.0,2019-01-25,0.75,3.0,1.0,240.0,0.3424657534246575,125.0,61125.0,6.192362489474872
Brooklyn,Kensington,40.64179,-73.97941,True,flexible,Private room,2015.0,364,2,13.0,2019-04-27,0.59,5.0,4.0,231.0,0.36712328767123287,134.0,48776.0,5.8971538676367405
Brooklyn,Cypress Hills,40.68185,-73.88128,True,moderate,Entire home/apt,2014.0,276,2,4.0,2018-01-03,0.18,4.0,1.0,0.0,1.0,365.0,100740.0,5.62040086571715
Manhattan,Lower East Side,40.71798,-73.98418,False,flexible,Entire home/apt,2016.0,464,2,17.0,2019-05-22,0.76,3.0,1.0,171.0,0.5315068493150685,194.0,90016.0,6.139884552226255
Brooklyn,Flatbush,40.65099,-73.96283,False,strict,Entire home/apt,2017.0,828,60,46.0,2019-01-01,2.05,4.0,1.0,54.0,0.852054794520548,311.0,257508.0,6.71901315438526
Bronx,Wakefield,40.88698,-73.86049,False,flexible,Private room,2010.0,383,2,16.0,2019-06-10,1.55,4.0,3.0,156.0,0.5726027397260274,209.0,80047.0,5.948034989180646
Brooklyn,Prospect Heights,40.67984,-73.9703,True,flexible,Private room,2022.0,89,2,0.0,,,2.0,1.0,0.0,1.0,365.0,32485.0,4.48863636973214
Brooklyn,East New York,40.67262,-73.87391,True,strict,Private room,2016.0,190,1,3.0,2018-09-03,0.13,3.0,6.0,179.0,0.5095890410958904,186.0,35340.0,5.247024072160486
Brooklyn,Bedford-Stuyvesant,40.69574,-73.93975,True,moderate,Private room,2014.0,1098,2,0.0,,,3.0,2.0,173.0,0.5260273972602739,192.0,210816.0,7.001245622069476
Brooklyn,Bedford-Stuyvesant,40.69366,-73.93794,False,strict,Private room,2008.0,827,1,0.0,,,3.0,2.0,173.0,0.5260273972602739,192.0,158784.0,6.717804695023691
Manhattan,Morningside Heights,40.80627,-73.96354,True,moderate,Shared room,2018.0,92,4,0.0,,,3.0,1.0,0.0,1.0,365.0,33580.0,4.5217885770490405
Brooklyn,East Flatbush,40.64641,-73.94956,False,moderate,Private room,2021.0,384,1,20.0,2019-07-05,0.88,4.0,1.0,244.0,0.3315068493150685,121.0,46464.0,5.950642552587727
Manhattan,Upper West Side,40.78875,-73.9679,False,strict,Private room,2010.0,823,2,5.0,2018-09-22,0.22,5.0,1.0,0.0,1.0,365.0,300395.0,6.71295620067707
Brooklyn,Bushwick,40.69455,-73.92715,True,strict,Private room,2022.0,901,1,3.0,2017-09-12,0.13,2.0,1.0,0.0,1.0,365.0,328865.0,6.803505257608338
Brooklyn,Windsor Terrace,40.64931,-73.9733,False,strict,Entire home/apt,2020.0,1072,3,12.0,2019-05-20,0.53,3.0,1.0,5.0,0.9863013698630136,360.0,385920.0,6.977281341630747
Brooklyn,Bedford-Stuyvesant,40.68568,-73.91923,True,strict,Private room,2009.0,132,30,5.0,2018-01-02,0.23,5.0,1.0,178.0,0.5123287671232877,187.0,24684.0,4.882801922586371
Manhattan,East Village,40.72601,-73.97674,False,moderate,Private room,2010.0,229,7,30.0,2019-05-09,1.34,4.0,2.0,82.0,0.7753424657534247,283.0,64807.0,5.43372200355424
Brooklyn,Greenpoint,40.72546,-73.95558,True,strict,Private room,2018.0,1108,1,62.0,2019-06-30,2.8,3.0,2.0,359.0,0.01643835616438356,6.0,6648.0,7.010311867307229
Brooklyn,Greenpoint,40.7228,-73.94538,False,moderate,Private room,2009.0,257,1,3.0,2017-09-30,0.14,5.0,1.0,0.0,1.0,365.0,93805.0,5.54907608489522
Manhattan,Kips Bay,40.73963,-73.98166,True,flexible,Entire home/apt,2008.0,684,5,8.0,2018-05-07,0.41,4.0,1.0,0.0,1.0,365.0,249660.0,6.52795791762255
Brooklyn,South Slope,40.6628,-73.98349,False,flexible,Entire home/apt,2011.0,895,2,1.0,2017-09-08,0.04,3.0,1.0,0.0,1.0,365.0,326675.0,6.796823718274855
Brooklyn,East Flatbush,40.66047,-73.93743,True,moderate,Private room,2006.0,1140,3,0.0,,,4.0,2.0,0.0,1.0,365.0,416100.0,7.038783541388542
Brooklyn,Crown Heights,40.67183,-73.95277,False,strict,Entire home/apt,2018.0,250,7,12.0,2019-06-02,0.79,4.0,1.0,0.0,1.0,365.0,91250.0,5.521460917862246
Manhattan,Chinatown,40.71405,-73.99291,False,strict,Private room,2009.0,134,3,35.0,2019-07-05,1.65,5.0,1.0,337.0,0.07671232876712329,28.0,3752.0,4.897839799950911
Brooklyn,Williamsburg,40.72028,-73.94152,False,moderate,Entire home/apt,2017.0,113,5,4.0,2018-09-28,0.18,3.0,1.0,0.0,1.0,365.0,41245.0,4.727387818712341
Brooklyn,Bushwick,40.701,-73.91986,False,strict,Private room,2020.0,66,1,77.0,2019-07-07,3.45,5.0,2.0,178.0,0.5123287671232877,187.0,12342.0,4.189654742026425
Brooklyn,Bedford-Stuyvesant,40.68797,-73.9592,True,flexible,Private room,2018.0,1150,1,0.0,,,4.0,1.0,0.0,1.0,365.0,419750.0,7.047517221357296
Brooklyn,Bushwick,40.70587,-73.92358,True,moderate,Entire home/apt,2007.0,1116,2,13.0,2018-04-15,0.57,3.0,2.0,0.0,1.0,365.0,407340.0,7.017506142941256
Manhattan,Upper East Side,40.76644,-73.95486,False,strict,Entire home/apt,2020.0,793,3,3.0,2017-09-28,0.13,2.0,1.0,0.0,1.0,365.0,289445.0,6.675823221634848
Manhattan,Upper West Side,40.79982,-73.96058,False,flexible,Entire home/apt,2005.0,1018,2,1.0,2017-09-10,0.04,2.0,1.0,0.0,1.0,365.0,371570.0,6.925595197110468
Manhattan,Hell's Kitchen,40.76506,-73.98567,False,strict,Private room,2007.0,327,3,6.0,2019-01-03,0.41,5.0,6.0,225.0,0.3835616438356164,140.0,45780.0,5.7899601708972535
Manhattan,Hell's Kitchen,40.7646,-73.98981,True,moderate,Entire home/apt,2014.0,818,2,1.0,2017-09-09,0.04,5.0,1.0,0.0,1.0,365.0,298570.0,6.706862336602747
Brooklyn,Gowanus,40.68289,-73.98532,True,moderate,Private room,2015.0,72,2,21.0,2018-01-06,0.94,3.0,1.0,0.0,1.0,365.0,26280.0,4.276666119016055
Brooklyn,Williamsburg,40.71122,-73.94347,False,strict,Private room,2019.0,604,3,4.0,2017-09-01,0.18,2.0,1.0,0.0,1.0,365.0,220460.0,6.403574197934815
Brooklyn,Bedford-Stuyvesant,40.68939,-73.95418,True,strict,Private room,2006.0,1065,3,5.0,2018-05-22,0.22,2.0,1.0,0.0,1.0,365.0,388725.0,6.970730078143525
Brooklyn,Crown Heights,40.6753,-73.96282,True,moderate,Private room,2004.0,753,3,2.0,2017-09-26,0.09,3.0,1.0,0.0,1.0,365.0,274845.0,6.6240652277998935
